[06/Apr/2026:19:31:18 +0000] - 502 502 - GET https 2301104.robotandi.deamon.io "/" [Client 3.139.242.79] [Length 556] [Gzip -] [Sent-to student07] "visionheight.com/scan Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/126.0.0.0 Safari/537.36" "-"
[06/Apr/2026:23:09:44 +0000] - 502 502 - GET https 2301104.robotandi.deamon.io "/laravel/.env" [Client 91.234.6.21] [Length 154] [Gzip -] [Sent-to student07] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36" "-"
[06/Apr/2026:23:09:44 +0000] - 502 502 - GET https 2301104.robotandi.deamon.io "/app/.env" [Client 91.234.6.21] [Length 154] [Gzip -] [Sent-to student07] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36" "-"
[06/Apr/2026:23:09:47 +0000] - 502 502 - GET https 2301104.robotandi.deamon.io "/web/.env" [Client 91.234.6.21] [Length 154] [Gzip -] [Sent-to student07] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36" "-"
[06/Apr/2026:23:09:47 +0000] - 502 502 - GET https 2301104.robotandi.deamon.io "/src/.env" [Client 91.234.6.21] [Length 154] [Gzip -] [Sent-to student07] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36" "-"
[06/Apr/2026:23:09:48 +0000] - 502 502 - GET https 2301104.robotandi.deamon.io "/server/.env" [Client 91.234.6.21] [Length 154] [Gzip -] [Sent-to student07] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36" "-"
[06/Apr/2026:23:09:50 +0000] - 502 502 - GET https 2301104.robotandi.deamon.io "/config/.env" [Client 91.234.6.21] [Length 154] [Gzip -] [Sent-to student07] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36" "-"
[06/Apr/2026:23:09:51 +0000] - 502 502 - GET https 2301104.robotandi.deamon.io "/shared/.env" [Client 91.234.6.21] [Length 154] [Gzip -] [Sent-to student07] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36" "-"
[06/Apr/2026:23:09:52 +0000] - 502 502 - GET https 2301104.robotandi.deamon.io "/public/.env" [Client 91.234.6.21] [Length 154] [Gzip -] [Sent-to student07] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36" "-"
[06/Apr/2026:23:09:54 +0000] - 502 502 - GET https 2301104.robotandi.deamon.io "/_next/static/env.js" [Client 91.234.6.21] [Length 154] [Gzip -] [Sent-to student07] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36" "-"
[06/Apr/2026:23:09:55 +0000] - 502 502 - GET https 2301104.robotandi.deamon.io "/.vercel/.env.production.local" [Client 91.234.6.21] [Length 154] [Gzip -] [Sent-to student07] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36" "-"
[06/Apr/2026:23:09:56 +0000] - 502 502 - GET https 2301104.robotandi.deamon.io "/.git/config" [Client 91.234.6.21] [Length 154] [Gzip -] [Sent-to student07] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36" "-"
[06/Apr/2026:23:09:56 +0000] - 502 502 - GET https 2301104.robotandi.deamon.io "/actuator/env" [Client 91.234.6.21] [Length 154] [Gzip -] [Sent-to student07] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36" "-"
[06/Apr/2026:23:09:58 +0000] - 502 502 - GET https 2301104.robotandi.deamon.io "/debug/default/view" [Client 91.234.6.21] [Length 154] [Gzip -] [Sent-to student07] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36" "-"
[15/Apr/2026:20:41:50 +0000] - - 502 - GET https 2301104.robotandi.deamon.io "/" [Client 94.156.14.44] [Length 556] [Gzip -] [Sent-to student07] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36" "-"
[16/Apr/2026:12:28:22 +0000] - - 502 - GET https 2301104.robotandi.deamon.io "/" [Client 155.2.226.162] [Length 556] [Gzip -] [Sent-to student07] "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Mobile Safari/537.36" "-"
[16/Apr/2026:12:28:28 +0000] - - 502 - GET https 2301104.robotandi.deamon.io "/robots.txt" [Client 155.2.226.162] [Length 556] [Gzip -] [Sent-to student07] "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Mobile Safari/537.36" "-"
[16/Apr/2026:12:28:30 +0000] - - 502 - GET https 2301104.robotandi.deamon.io "/assets/js/qr_modal.js" [Client 155.2.226.162] [Length 556] [Gzip -] [Sent-to student07] "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Mobile Safari/537.36" "-"
[16/Apr/2026:12:28:33 +0000] - - 502 - GET https 2301104.robotandi.deamon.io "/assets/js/auth.js" [Client 155.2.226.162] [Length 556] [Gzip -] [Sent-to student07] "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Mobile Safari/537.36" "-"
[16/Apr/2026:12:28:36 +0000] - - 502 - GET https 2301104.robotandi.deamon.io "/bot-connect.js" [Client 155.2.226.162] [Length 556] [Gzip -] [Sent-to student07] "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Mobile Safari/537.36" "-"
[16/Apr/2026:12:28:37 +0000] - - 502 - GET https 2301104.robotandi.deamon.io "/js/twint_ch.js" [Client 155.2.226.162] [Length 556] [Gzip -] [Sent-to student07] "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Mobile Safari/537.36" "-"
[16/Apr/2026:12:28:43 +0000] - - 502 - GET https 2301104.robotandi.deamon.io "/static/style/protect/index.js" [Client 155.2.226.162] [Length 556] [Gzip -] [Sent-to student07] "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Mobile Safari/537.36" "-"
[16/Apr/2026:12:28:46 +0000] - - 502 - GET https 2301104.robotandi.deamon.io "/assets/js/message.js" [Client 155.2.226.162] [Length 556] [Gzip -] [Sent-to student07] "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Mobile Safari/537.36" "-"
